Phase,ID,Time_uS,Delta_uS,SCH_Deg_s_X,SCH_Deg_s_Y,SCH_Deg_s_Z,SCH_G_X,SCH_G_Y,SCH_G_Z,ADXL_G_X,ADXL_G_Y,ADXL_G_Z,BNO_G_X,BNO_G_Y,BNO_G_Z,BNO_Deg_s_X,BNO_Deg_s_Y,BNO_Deg_s_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z
1,S,3742424,2032,0.800,1.440,2.400,0.054,-0.232,-0.948,,,,,,,,,,,,
1,A,7296201,996,,,,,,,0.095,-0.232,-0.992,,,,,,,,,
1,B,3745811,2288,,,,,,,,,,,,,0.112,0.112,0.000,,,
1,S,3745811,3387,0.480,1.120,2.720,0.053,-0.233,-0.946,,,,,,,,,,,,
1,A,7299188,996,,,,,,,0.102,-0.234,-0.985,,,,,,,,,
1,B,3747843,3288,,,,,,,,,,,,,,,,67.312,-89.938,9.875
1,S,3747843,2032,0.800,1.120,3.040,0.053,-0.233,-0.945,,,,,,,,,,,,
1,A,7302174,995,,,,,,,0.102,-0.234,-0.993,,,,,,,,,
1,B,3751229,3288,,,,,,,,,,0.039,-0.193,-0.990,,,,,,
1,S,3751229,3386,0.800,1.120,3.360,0.054,-0.234,-0.943,,,,,,,,,,,,
1,A,7305161,996,,,,,,,0.103,-0.234,-0.988,,,,,,,,,
1,B,3754616,3292,,,,,,,,,,,,,0.112,0.112,0.000,,,
1,S,3754616,3387,0.160,1.120,2.720,0.054,-0.233,-0.943,,,,,,,,,,,,
1,A,7309143,995,,,,,,,0.100,-0.234,-0.993,,,,,,,,,
1,B,3758003,3288,,,,,,,,,,0.039,-0.195,-0.987,,,,,,
1,S,3758003,3387,0.480,0.800,2.720,0.055,-0.232,-0.944,,,,,,,,,,,,
1,A,7312130,995,,,,,,,0.104,-0.237,-0.991,,,,,,,,,
1,B,3761390,2288,,,,,,,,,,,,,,,,66.875,-89.438,10.625
1,S,3761390,3387,1.440,0.800,2.720,0.055,-0.234,-0.945,,,,,,,,,,,,
1,A,7314122,996,,,,,,,0.098,-0.236,-0.990,,,,,,,,,
1,B,3763422,4288,,,,,,,,,,,,,0.112,0.112,0.000,,,
1,S,3763422,2032,1.440,0.800,3.040,0.056,-0.235,-0.945,,,,,,,,,,,,
1,A,7319100,996,,,,,,,0.098,-0.237,-0.994,,,,,,,,,
1,B,3767486,2288,,,,,,,,,,0.037,-0.197,-0.990,,,,,,
1,S,3767486,4064,1.440,1.120,2.720,0.056,-0.236,-0.945,,,,,,,,,,,,
1,A,7321091,996,,,,,,,0.100,-0.236,-0.995,,,,,,,,,
1,B,3770196,3288,,,,,,,,,,,,,,,,66.375,-89.500,10.312
1,S,3770196,2710,1.120,1.120,2.080,0.057,-0.236,-0.945,,,,,,,,,,,,
1,A,7324078,996,,,,,,,0.100,-0.236,-0.993,,,,,,,,,
1,B,3773582,4293,,,,,,,,,,,,,0.112,0.000,-0.112,,,
1,S,3773582,3386,1.120,1.440,1.760,0.057,-0.236,-0.945,,,,,,,,,,,,
1,A,7328060,995,,,,,,,0.101,-0.239,-0.992,,,,,,,,,
1,B,3777647,2288,,,,,,,,,,0.040,-0.198,-0.991,,,,,,
1,S,3777647,4065,1.120,1.760,2.080,0.057,-0.234,-0.946,,,,,,,,,,,,
1,A,7331047,996,,,,,,,0.101,-0.237,-0.992,,,,,,,,,
1,B,3779679,3288,,,,,,,,,,0.040,-0.199,-0.991,,,,,,
1,S,3779679,2032,0.800,2.080,2.400,0.056,-0.234,-0.946,,,,,,,,,,,,
1,A,7334034,996,,,,,,,0.100,-0.238,-0.991,,,,,,,,,
1,B,3783066,3288,,,,,,,,,,,,,,,,66.625,-90.250,10.938
1,S,3783066,3387,0.800,1.760,2.400,0.056,-0.235,-0.945,,,,,,,,,,,,
1,A,7337021,996,,,,,,,0.099,-0.238,-0.992,,,,,,,,,
1,B,3786452,3288,,,,,,,,,,,,,0.224,0.000,-0.112,,,
1,S,3786452,3386,0.800,1.440,2.400,0.055,-0.235,-0.944,,,,,,,,,,,,
1,A,7341003,995,,,,,,,0.102,-0.237,-0.990,,,,,,,,,
1,B,3789839,3288,,,,,,,,,,0.039,-0.199,-0.990,,,,,,
1,S,3789839,3387,1.440,1.120,2.400,0.053,-0.236,-0.943,,,,,,,,,,,,
1,A,7343990,995,,,,,,,0.102,-0.235,-0.991,,,,,,,,,
1,B,3793226,2292,,,,,,,,,,,,,,,,67.312,-88.938,10.125
1,S,3793226,3387,2.080,1.120,1.760,0.054,-0.236,-0.942,,,,,,,,,,,,
1,A,7345981,995,,,,,,,0.102,-0.238,-0.989,,,,,,,,,
1,B,3795258,3288,,,,,,,,,,,,,0.224,0.000,0.000,,,
1,S,3795258,2032,1.760,1.120,1.440,0.054,-0.235,-0.942,,,,,,,,,,,,
1,A,7349964,996,,,,,,,0.103,-0.238,-0.990,,,,,,,,,
1,B,3798645,3288,,,,,,,,,,0.035,-0.198,-0.988,,,,,,
1,S,3798645,3387,1.120,1.760,1.440,0.052,-0.235,-0.942,,,,,,,,,,,,
1,A,7352951,996,,,,,,,0.100,-0.237,-0.989,,,,,,,,,
1,B,3802032,2288,,,,,,,,,,,,,,,,67.125,-89.688,9.438
1,S,3802032,3387,0.800,2.080,2.080,0.051,-0.236,-0.942,,,,,,,,,,,,
1,A,7354942,995,,,,,,,0.101,-0.238,-0.988,,,,,,,,,
1,B,3804064,3288,,,,,,,,,,,,,0.000,0.000,-0.112,,,
1,S,3804064,2032,1.440,2.080,2.720,0.051,-0.236,-0.942,,,,,,,,,,,,
1,A,7357929,996,,,,,,,0.102,-0.238,-0.990,,,,,,,,,
1,B,3807451,3288,,,,,,,,,,0.036,-0.199,-0.988,,,,,,
1,S,3807451,3387,2.080,2.400,2.720,0.052,-0.237,-0.942,,,,,,,,,,,,
1,A,7361912,996,,,,,,,0.102,-0.237,-0.994,,,,,,,,,
1,B,3810838,2293,,,,,,,,,,,,,,,,67.000,-88.750,9.188
1,S,3810838,3387,1.760,2.080,2.080,0.053,-0.236,-0.941,,,,,,,,,,,,
1,A,7363903,996,,,,,,,0.101,-0.238,-0.994,,,,,,,,,
1,B,3812870,4288,,,,,,,,,,,,,0.000,0.000,0.000,,,
1,S,3812870,2032,1.120,1.760,1.760,0.053,-0.236,-0.946,,,,,,,,,,,,
1,A,7367885,995,,,,,,,0.101,-0.237,-0.996,,,,,,,,,
1,B,3817611,3288,,,,,,,,,,0.037,-0.199,-0.987,,,,,,
1,S,3817611,677,0.800,0.480,1.760,0.053,-0.236,-0.947,,,,,,,,,,,,
1,A,7371868,996,,,,,,,0.101,-0.238,-0.997,,,,,,,,,
1,B,3820321,2288,,,,,,,,,,,,,,,,67.375,-90.375,10.750
1,S,3820321,2710,0.800,1.120,2.080,0.054,-0.235,-0.948,,,,,,,,,,,,
1,A,7373859,995,,,,,,,0.099,-0.236,-0.997,,,,,,,,,
1,B,3823030,4288,,,,,,,,,,,,,-0.112,0.112,0.000,,,
1,S,3823030,2709,0.800,1.760,2.400,0.055,-0.235,-0.948,,,,,,,,,,,,
1,A,7377842,996,,,,,,,0.100,-0.238,-0.997,,,,,,,,,
1,B,3827094,3288,,,,,,,,,,0.035,-0.199,-0.990,,,,,,
1,S,3827094,4064,0.800,1.440,2.080,0.055,-0.236,-0.948,,,,,,,,,,,,
1,A,7381824,995,,,,,,,0.099,-0.236,-0.997,,,,,,,,,
1,B,3830481,2293,,,,,,,,,,,,,,,,67.062,-89.188,10.000
1,S,3830481,3387,0.480,0.800,1.760,0.055,-0.237,-0.950,,,,,,,,,,,,
1,A,7383816,996,,,,,,,0.096,-0.236,-0.995,,,,,,,,,
1,B,3832513,4288,,,,,,,,,,,,,-0.112,0.000,0.000,,,
1,S,3832513,2032,0.480,0.800,1.760,0.055,-0.237,-0.951,,,,,,,,,,,,
1,A,7387798,995,,,,,,,0.098,-0.236,-0.993,,,,,,,,,
1,B,3837255,2288,,,,,,,,,,0.039,-0.198,-0.996,,,,,,
1,S,3837255,4742,0.800,0.800,1.760,0.056,-0.235,-0.950,,,,,,,,,,,,
1,A,7389789,995,,,,,,,0.099,-0.235,-0.996,,,,,,,,,
1,B,3839287,2288,,,,,,,,,,,,,,,,65.500,-90.125,11.250
1,S,3839287,2032,0.800,1.120,2.080,0.056,-0.235,-0.949,,,,,,,,,,,,
1,A,7392776,995,,,,,,,0.098,-0.234,-0.994,,,,,,,,,
1,B,3841319,4288,,,,,,,,,,,,,-0.112,0.112,0.000,,,
1,S,3841319,2032,0.160,1.120,2.080,0.056,-0.235,-0.948,,,,,,,,,,,,
1,A,7396759,996,,,,,,,0.097,-0.233,-0.992,,,,,,,,,
1,B,3846061,2288,,,,,,,,,,0.039,-0.196,-0.992,,,,,,
1,S,3846061,4742,-0.160,1.760,2.080,0.056,-0.232,-0.945,,,,,,,,,,,,
1,A,7398750,995,,,,,,,0.099,-0.231,-0.989,,,,,,,,,
1,B,3848093,3292,,,,,,,,,,,,,,,,66.500,-89.438,10.000
1,S,3848093,2032,-0.160,1.760,2.400,0.056,-0.232,-0.944,,,,,,,,,,,,
1,A,7402733,996,,,,,,,0.098,-0.229,-0.991,,,,,,,,,
1,B,3851479,3288,,,,,,,,,,0.040,-0.193,-0.992,,,,,,
1,S,3851479,3386,0.800,1.440,3.040,0.055,-0.231,-0.943,,,,,,,,,,,,
